Everest Insurance Co. Ltd.,EIC,Non Life Insurance
General Insurance Company Nepal Ltd,GIC,Non Life Insurance
Himalayan General Insurance Co. Ltd,HGI,Non Life Insurance
IME General Insurance Ltd.,IGI,Non Life Insurance
Lumbini General Insurance Co. Ltd.,LGIL,Non Life Insurance
Neco Insurance Co. Ltd.,NIL,Non Life Insurance
Nepal Insurance Co. Ltd.,NICL,Non Life Insurance
NLG Insurance Company Ltd.,NLG,Non Life Insurance
Prabhu Insurance Ltd.,PRIN,Non Life Insurance
Premier Insurance Co. Ltd.,PIC,Non Life Insurance
Prudential Insurance Co. Ltd.,PICL,Non Life Insurance
Rastriya Beema Company Limited,RBCL,Non Life Insurance
Sagarmatha Insurance Co. Ltd.,SIC,Non Life Insurance
Sanima General Insurance Limited,SGI,Non Life Insurance
Shikhar Insurance Co. Ltd.,SICL,Non Life Insurance
Siddhartha Insurance Ltd.,SIL,Non Life Insurance
United Insurance Co. (Nepal) Ltd.,UIC,Non Life Insurance
Gandaki Bikas Bank Limited,GDBL,Development Banks
Garima Bikas Bank Limited,GBBL,Development Banks
Green Development Bank Ltd.,GRDBL,Development Banks
Hamro Bikas Bank Ltd.,HAMRO,Development Banks
Jyoti Bikas Bank Limited,JBBL,Development Banks
Kamana Sewa Bikas Bank Limited,KSBBL,Development Banks
Kankai Bikas Bank Ltd.,KNBL,Development Banks
Karnali Development Bank Limited,KRBL,Development Banks
Lumbini Bikas Bank Ltd.,LBBL,Development Banks
Mahalaxmi Bikas Bank Ltd.,MLBL,Development Banks
Miteri Development Bank Limited,MDB,Development Banks
Muktinath Bikas Bank Ltd.,MNBBL,Development Banks
Narayani Development Bank Limited,NABBC,Development Banks
NIDC Development Bank Ltd.,NIDC,Development Banks
Om Development Bank Ltd.,ODBL,Development Banks
Sahara Bikas Bank Ltd.,SHBL,Development Banks
Sahayogi Bikas Bank Limited,SBBLJ,Development Banks
Saptakoshi Development Bank Ltd,SAPDBL,Development Banks
Shangrila Development Bank Ltd.,SADBL,Development Banks
Shine Resunga Development Bank Ltd.,SHINE,Development Banks
Sindhu Bikash Bank Ltd,SINDU,Development Banks
Tinau Mission Development Bank Limited,TMDBL,Development Banks
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance
ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,AKBSL,Microfinance
Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Microfinance
Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance
Chhimek Laghubitta Bikas Bank Limited,CBBL,Microfinance
Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Microfinance
Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Microfinance
First Micro Finance Development Bank Ltd.,FMDBL,Microfinance
Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,Microfinance
Ganapati Microfinance Bittiya Sanstha Limited,GMFBS,Microfinance
Ghodighoda Laghubitta Bittiya Sanstha Ltd.,GGBSL,Microfinance
Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Microfinance
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Microfinance
Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Microfinance
Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Microfinance
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,Microfinance
Jeevan Bikas laghubitta bittya sanstha ltd,JBLB,Microfinance
Kalika Microcredit Development Bank Ltd.,KMCDB,Microfinance
Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Microfinance
Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Microfinance
Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Microfinance
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,MSMBS,Microfinance
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB,Microfinance
Mero Microfinance Bittiya Sanstha Ltd.,MERO,Microfinance
Mirmire Microfinance Development Bank Ltd.,MMFDB,Microfinance
Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Microfinance
Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Microfinance
National Microfinance Bittiya Sanstha Ltd.,NMFBS,Microfinance
Nepal Agro Laghubitta Bittiya Sanstha Limited,NAGRO,Microfinance
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,NSEWA,Microfinance
Nerude Laghubita Bikas Bank Limited,NLBBL,Microfinance
NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Microfinance
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Microfinance
NMB Microfinance Bittiya Sanstha Ltd.,NMBMF,Microfinance
RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,Microfinance
RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Microfinance
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,Microfinance
Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,Microfinance
Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Microfinance
Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance
Sana Kisan Bikas Bank Ltd,SKBBL,Microfinance
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,SNLB,Microfinance
Sparsha Laghubitta Bittiya Sanstha Limited,SPARS,Microfinance
Summit Laghubitta Bittiya Sanstha Limited,SMFDB,Microfinance
Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance
Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Microfinance
Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Microfinance
Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Microfinance
Swadeshi Laghubitta Bittiya Sanstha Ltd.,SDESI,Microfinance
Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Microfinance
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Microfinance
Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Microfinance
Womi Microfinance Bittiya Sanstha Ltd.,WOMI,Microfinance
Asian Life Insurance Co. Limited,ALICL,Life Insurance
Gurans Life Insurance Company Ltd.,GLICL,Life Insurance
Jyoti Life Insurance Ltd,JLI,Life Insurance
Life Insurance Co. Nepal,LICN,Life Insurance
National Life Insurance Co. Ltd.,NLICL,Life Insurance
Nepal Life Insurance Co. Ltd.,NLIC,Life Insurance
Prabhu Life Insurance Limited,PLI,Life Insurance
Prime Life Insurance Company Limited,PLIC,Life Insurance
Reliance Life Insurance Limited,RLI,Life Insurance
Surya Life Insurance Company Limited,SLICL,Life Insurance
Union Life Insurance Company Limited,ULI,Life Insurance
CEDB Hydropower Development Company Limited,CHDC,Investment
Citizen Investment Trust,CIT,Investment
Hydorelectricity Investment and Development Company Ltd,HIDCL,Investment
Nepal Infrastructure Bank Limited,NIFRA,Investment
NRN Infrastructure and Development Limited,NRN,Investment
